"","Name","Pos2","Age","Year","FG","Bhind_Arc","In_Arc","FreeT","OfReb","DefReb","Assist","Steal","Block","TOV","Fouls","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"1","Aaron Brooks","PG",34,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6611042383945,19.0490765242957,9.14765168619806,-4.15841157944635,12.5815860971529,110.212073113355,7.54411367321825,-2.88047514999181,54.651005050714,81.0515245978593
"2","Aaron Brooks","PG",33,2018,28,11,17,8,7,10,20,6,0,11,28,65.470474635777,57.3489221903169,31.003968301306,6.93247010320169,38.5390133739702,131.753087665576,17.6831681716178,1.97063749911672,67.3181267669022,95.4538637159631
"3","Aaron Brooks","PG",32,2017,121,48,73,32,18,51,125,25,9,66,93,68.1075411755262,90.7616144757617,50.0311345335413,16.7947934187171,60.4829736688953,150.535323025299,26.6819033779158,6.25353444889305,78.4721559332743,108.191567346028
"4","Aaron Brooks","PG",31,2016,188,66,122,49,21,80,180,30,10,82,132,69.5723038576421,119.28715338063,66.2291503829033,25.4285583670999,78.4134669819282,166.558779192524,34.5403192921119,9.96821569933695,88.1130925498305,119.264635488054
"5","Aaron Brooks","PG",30,2015,344,121,223,145,32,134,261,54,15,157,189,69.8647626821244,142.925538904921,79.5980158493912,32.8337649483501,92.3304933130689,179.823456167248,41.2584159142062,13.1146812504484,96.2409366165707,128.673068142042
"6","Aaron Brooks","PG",29,2014,233,96,137,83,43,97,233,52,13,117,146,68.9849176489735,161.676771048636,90.137730933006,39.0104131624678,102.234052662317,190.329353949475,46.8361932441991,15.6929311022276,102.855688133495,136.416865307992
"7","Aaron Gordon","PF",23,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3956897355466,272.864987252248,151.733719948438,109.879546807352,339.260441264732,140.660839394422,59.8619425170557,45.4186893572007,88.7249722040138,143.683216845899
"8","Aaron Gordon","PF",22,2018,375,115,260,157,87,370,136,59,45,107,111,78.3097176989624,257.406145731926,142.469382351939,107.456286451542,321.069731740735,131.855282829155,57.4574848023363,44.0194293136534,84.7480758722259,139.77456559558
"9","Aaron Gordon","PF",21,2017,393,77,316,156,116,289,150,65,40,89,172,68.0514418047448,237.060150831027,130.375894372567,103.804467728599,298.865555234846,120.29094707139,53.9127077955151,42.0519535707737,79.2580869906222,134.201278857222
"10","Aaron Gordon","PF",20,2016,274,42,232,129,154,353,128,59,55,66,153,56.6208620528937,211.827002549552,115.45325601032,98.9240906385239,272.647911747064,105.967832121125,49.2276114965924,39.5162621285617,72.2550055592023,126.963356630825
"11","Aaron Gordon","PF",19,2015,93,13,80,44,46,123,33,21,22,38,83,44.0179784434095,181.7067008875,97.7014672652009,92.8151551813159,242.416801277391,88.8859379783607,43.4021959055678,36.4123549870173,63.7388315779664,118.06079891639
"12","Aaron Gordon","PF",18,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2427909762918,146.699245844872,77.120528137208,85.4776613569755,208.172223825825,69.0452646430976,36.4364610224414,32.7402321461406,53.7095650469145,107.493605713916
"13","Aaron Harrison","SG",24,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3904081680823,31.6595807869279,22.9759082710897,6.69414846686108,45.0391077267434,21.1052603355412,9.04870256804044,3.08637628754125,9.27839763036847,19.7075455086175
"14","Aaron Harrison","SG",23,2018,19,9,10,13,4,20,11,9,2,3,27,13.4767399891314,21.0878926471831,16.5407210574637,5.49944647818349,30.8618651846389,15.058482962773,7.78456414542281,2.25533194332625,6.81459384839665,17.4635297463362
"15","Aaron Harrison","SG",22,2017,0,0,0,1,0,3,3,0,0,0,2,4.39076795254714,5.62905112686107,7.27638346096468,3.07618612237322,12.6711556606418,6.25292639750586,5.38010643070335,0.856071899778936,2.83769751660877,13.5548784960166
"16","Aaron Harrison","SG",21,2016,5,3,2,5,4,11,2,6,0,4,10,-5.86750794167047,-14.7169437740378,-4.81710451840819,-0.575632600569506,-9.53302084524713,-5.31140936025992,1.83532942388219,-1.11140384310075,-2.65229136499495,7.98159175765841
"17","Aaron Harrison","SG",20,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.2980876935215,-39.9500920555126,-19.7397428806542,-5.45600969064479,-35.7506643330286,-19.6345243105248,-2.84976687504057,-3.64709528531275,-9.65537279641485,0.743669531261844
"18","Aaron Harrison","SG",19,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.9009713030058,-70.0703937175646,-37.4915316257737,-11.5649451478528,-65.9817748027023,-36.7164184532888,-8.67518246606515,-6.75100242685712,-18.1715467776507,-8.1588881831733
"19","Aaron Jackson","PG",32,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.464762682114994,-26.5255389048626,-15.1980158493595,-6.63376494838626,-16.9304933130307,-15.0234561672215,-7.85841591419539,-3.71468125044323,-8.64093661655507,-7.07306814202579
"20","Aaron Jackson","PG",31,2018,3,1,2,1,2,1,1,0,0,1,4,1.00000000000087,2.00000000000537,1.0000000000025,1.99999999999654,1.00000000000219,1.00000000000261,7.53175299905706e-13,6.69686528453894e-13,1.00000000000118,4.0000000000006
"21","Aaron Jackson","PG",30,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29245882448318,25.6383855242965,14.3688654664904,9.40520658124678,14.9170263311429,14.2646769747274,6.71809662209508,3.14646555111215,9.12784406674136,13.4084326539889
"22","Aaron Jackson","PG",29,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412613791332276,44.3896176680113,24.9085805501052,15.5818547953645,24.8205856803915,24.7705747569538,12.2958739520879,5.72471540289136,15.7425955836656,21.1522298199383
