"","Name","Pos2","Age","Year","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"37","Al Horford","C",32,2019,57.4949273841871,283.371996807708,56.7225539834122,87.6129386233781,329.462387988474,214.764748268327,32.5860294258198,76.5288190459986,80.7295603495971,96.639337526076
"43","Al Jefferson","C",34,2019,-5.73889576161285,259.049076524249,38.9476516861707,55.041588420583,267.18158609712,31.4120731133321,9.94411367320896,36.3195248500042,24.0510050507007,88.0515245978445
"85","Alex Len","C",25,2019,26.1133083944885,219.402217799815,137.134712023757,142.812664333161,343.545194608216,72.6991113108098,33.1327345599575,71.8613487319785,93.9045038957355,190.596682774886
"109","Amir Johnson","C",31,2019,21.0118389570869,180.233456949437,42.8100051320334,132.698613724776,256.702788934152,96.8410858458246,34.0069873021252,60.0334661439956,73.4688379990454,201.233243990192
"115","Andre Drummond","C",25,2019,25.7133083944885,530.602217799814,194.734712023757,408.012664333162,790.345194608216,117.69911131081,111.132734559957,125.461348731978,156.304503895736,266.396682774886
"139","Andrew Bogut","C",34,2019,-6.5388957616135,37.4490765242482,-39.6523483138302,76.8415884205828,233.381586097119,50.0120731133318,1.34411367320888,64.9195248500041,37.6510050507004,112.451524597844
"163","Ante Zizic","C",22,2019,10.2582758942205,69.3459949008996,33.0934879793799,27.6518187229381,58.2041765058979,16.5643357577731,5.54477700682418,14.9674757428813,16.4899888816075,35.5732867383622
"199","Aron Baynes","C",32,2019,1.09492738418703,93.7719968077078,37.3225539834121,88.2129386233782,175.662387988474,11.9647482683272,-3.41397057418009,24.9288190459984,36.7295603495971,124.639337526076
"223","Bam Adebayo","C",21,2019,11.4305797518537,199.233148281476,143.922638362252,122.880377090071,289.217643487791,115.323114950272,36.6850962989259,43.5356914422137,73.0030814314239,145.237922226401
"247","Bismack Biyombo","C",26,2019,21.3963968215883,163.340757658085,117.047260875137,150.526989231764,377.704793662538,51.2227737333119,19.511776683652,102.156701633981,72.7652262462867,173.20277631077
"259","Boban Marjanovic","C",30,2019,3.32276187648061,54.3470735533439,53.0261036766056,44.951448061271,85.8775039440313,-8.99744499918143e-05,-0.301795603848305,10.9344545622189,13.7879536992415,30.0652529854878
"331","Brook Lopez","C",30,2019,57.1287505299874,343.494917091166,187.697456280653,116.784288826174,237.343189879829,82.5174234233223,23.4279451784305,94.9381132419929,104.008115648494,155.827150454308
"409","Channing Frye","C",35,2019,102.344192665486,-18.41238361748,-18.93979946245,4.7559133191859,162.941185151442,7.3357355358347,8.12315579690372,22.0148777520071,20.3117274012522,112.457618133729
"427","Chinanu Onuaku","C",22,2019,15.9735657701458,36.4625690416378,21.5548071605024,7.5920072679758,40.8129982497896,20.7258932329058,7.38732515628536,3.73532146398712,12.4915295973178,14.1922478515607
"451","Clint Capela","C",24,2019,22.7149300914631,300.647103800806,103.660843991254,161.808150889521,354.226773810001,67.0138914131748,44.0111442868013,82.7481501088698,73.6922408294733,151.771628125803
"457","Cody Zeller","C",26,2019,22.1963968215885,203.740757658085,142.047260875136,112.126989231763,273.904793662539,91.2227737333123,42.911776683652,47.7567016339815,67.3652262462868,163.40277631077
"463","Cole Aldrich","C",30,2019,7.32875052998759,35.4949170911669,10.297456280654,41.9842888261733,116.34318987983,12.9174234233216,11.6279451784303,31.9381132419927,18.0081156484936,62.8271504543071
"487","Cristiano Felicio","C",26,2019,12.7011927375485,106.444300597956,51.6593067395942,78.1132483316644,153.985239799171,45.0701435655445,15.1540920662996,13.8135134902115,34.2260274311041,81.7156702231298
"511","Dakari Johnson","C",23,2019,9.08597203658682,37.4588415203237,20.2643375965055,18.4232603558059,36.1907095240066,16.8055565652738,8.4044577147222,9.39926004354877,6.97689633179127,30.9086512503233
"517","Damian Jones","C",23,2019,14.2151099836958,35.131838970773,18.3110815861917,11.2491697172773,40.7927977769507,15.5877244441565,5.1768462181325,5.88299791498858,11.7218907725935,21.1952946195025
"553","Daniel Theis","C",26,2019,23.5690604636856,108.797381378595,61.7768864478839,88.7375852544085,190.150308578327,56.5292189877761,28.9834998384164,47.6946129455514,55.4376186823427,155.914744786207
"631","David West","C",38,2019,-17.4065420532147,117.803235957332,8.39784709168681,39.0988880149935,156.01998231441,88.9067228033425,8.86028216798778,40.9009364580155,45.6938944529076,86.0758987413817
"655","DeAndre Jordan","C",30,2019,7.52875052998718,336.894917091167,179.497456280654,310.784288826172,798.743189879829,67.1174234233221,48.2279451784304,148.138113241993,104.408115648494,209.627150454307
"691","DeMarcus Cousins","C",28,2019,75.7625736757881,479.817837374627,425.072358577895,157.355639028968,594.023991771184,240.070098578317,90.4698609310415,88.947407437987,248.286670947391,235.014963382539
"727","Derrick Favors","C",27,2019,21.4794852486883,381.279297516355,164.959809726516,168.241314130366,372.464392716861,95.346436155815,59.6908188073467,88.4520545359843,100.225948596839,171.008869846655
"781","Dewayne Dedmon","C",29,2019,20.8456621028878,95.7563772328965,36.9849074292744,80.4699639275707,234.983590825507,19.9937610008202,15.648903054736,42.2427603399899,40.3473932979421,120.021056918423
"787","Deyonta Davis","C",22,2019,15.9735657701461,125.462569041637,43.5548071605024,53.5920072679758,142.81299824979,39.7258932329061,14.8873251562857,31.2353214639873,28.9915295973179,91.6922478515608
"805","Dirk Nowitzki","C",40,2019,87.7596348009845,153.080315673874,102.422944794445,-14.2724621878015,276.739180423058,35.3540476483455,1.01836641537604,20.091642262021,17.8153391540103,82.4880858131493
"811","Domantas Sabonis","C",22,2019,47.9735657701458,266.962569041637,125.554807160503,111.592007267976,359.812998249789,135.225893232906,45.3873251562856,35.2353214639872,118.991529597318,219.192247851561
"859","Dwight Howard","C",33,2019,-2.42198418871327,316.510536665977,211.035102834791,201.32726352198,541.021987042797,52.2884106908297,31.3650715495142,92.824171948001,150.190282700149,178.445431061961
"865","Dwight Powell","C",27,2019,27.4226511592128,144.993453446483,94.4422161197025,79.343963136027,201.125771445808,49.5730474694303,40.7087495960376,24.4865323638766,34.5940467058525,117.036861965514
"883","Ed Davis","C",29,2019,10.8456621028877,155.556377232896,63.5849074292744,155.069963927571,288.983590825506,42.7937610008205,25.2489030547359,53.6427603399899,43.7473932979422,157.021056918423
"895","Ekpe Udoh","C",31,2019,5.2774244924379,-10.063133717891,-3.14074951296467,27.2016226872024,37.6817361329614,1.16456577758174,5.68804748422932,34.2089318927348,2.64368004322014,51.1832804229137
"907","Emeka Okafor","C",36,2019,-6.15397811264948,-0.0741524271681442,-9.51461738085542,33.4520015830847,39.0156387593979,-19.0585729372202,-4.41969308260311,19.0124559522267,-2.69330681582033,12.2683899058185
"919","Enes Kanter","C",26,2019,27.5963968215883,443.540757658084,196.047260875136,244.326989231763,430.304793662539,79.6227737333124,33.1117766836521,37.1567016339817,134.165226246287,188.60277631077
"1027","Georgios Papagiannis","C",21,2019,17.732021556596,77.2932991125022,29.7985327348127,26.4348448186746,84.3331987226286,37.3640620216548,11.0978040944383,15.5876450129859,27.261168422042,39.6892010836186
"1069","Gorgui Dieng","C",29,2019,19.445662102888,208.956377232897,122.184907429274,145.469963927571,343.183590825507,99.1937610008202,56.848903054736,77.4427603399899,87.9473932979422,171.621056918423
"1075","Greg Monroe","C",28,2019,14.3625736757881,397.217837374626,193.872358577895,189.555639028968,423.023991771184,154.470098578317,70.0698609310414,39.747407437987,130.88667094739,149.214963382539
"1093","Hassan Whiteside","C",29,2019,8.56113187104538,354.557686543601,149.046464205335,203.201171300364,546.058436536345,24.2791515069345,33.0071531355288,158.145453867215,101.278583956772,160.713684525321
"1111","Ian Mahinmi","C",32,2019,0.294927384187176,68.9719968077079,39.9225539834119,85.4129386233782,172.262387988474,9.56474826832667,22.3860294258198,42.9288190459984,47.3295603495972,157.239337526076
"1117","Ike Anigbogu","C",20,2019,12.6028836094872,34.1203016620532,22.7517887451265,11.108935457203,34.2311104696842,17.0818941427717,6.82541559102761,6.10390714154614,10.5161739812398,9.9025577144395
"1171","Ivica Zubac","C",21,2019,17.732021556596,133.793299112501,59.2985327348127,50.9348448186746,138.833198722628,50.3640620216549,18.5978040944382,28.0876450129858,39.2611684220422,68.1892010836185
"1231","Jahlil Okafor","C",23,2019,20.4016825500157,275.433887548081,108.967542370169,81.151265201126,199.732708357193,66.2894853872061,21.3293411522439,46.2228076862059,88.637916063334,114.370149818028
"1249","Jakob Poeltl","C",23,2019,14.7151099836956,185.131838970773,60.8110815861918,125.749169717277,186.79279777695,49.0877244441567,32.1768462181327,62.3829979149886,63.7218907725935,169.195294619503
"1357","Jarrett Allen","C",20,2019,17.6028836094872,259.120301662053,131.751788745127,150.108935457204,274.231110469685,66.0818941427722,33.825415591028,91.1039071415459,90.5161739812402,155.90255771444
"1369","Jason Smith","C",32,2019,12.2949273841872,92.1719968077079,17.522553983412,35.8129386233783,112.462387988474,19.3647482683268,0.986029425819812,32.1288190459985,29.7295603495972,109.439337526076
"1381","JaVale McGee","C",31,2019,3.81183895708736,44.6334569494374,-1.78999486796697,30.6986137247757,51.1027889341519,-17.1589141541753,-5.99301269787486,28.2334661439956,4.46883799904549,37.4332439901916
"1423","Jeff Withey","C",28,2019,14.7625736757879,42.0178373746261,29.872358577895,29.9556390289683,77.8239917711832,8.87009857831728,5.86986093104126,29.147407437987,10.4866709473907,39.2149633825389
"1471","Joakim Noah","C",33,2019,-3.22198418871341,64.310536665978,36.235102834791,126.527263521981,242.621987042797,146.68841069083,16.9650715495145,42.0241719480013,58.7902827001489,99.8454310619606
"1513","Joel Embiid","C",24,2019,63.4566541972455,322.301108899908,286.067356011881,104.406332166578,387.772597304112,142.949555655408,35.9663672799799,95.0306743659899,179.952251947869,164.698341387445
"1519","Joffrey Lauvergne","C",27,2019,26.1726511592128,108.993453446483,25.5747161197025,37.5687131360271,118.875771445809,104.823047469431,21.9587495960378,7.23653236387673,30.0940467058527,53.5368619655137
