"","Name","Pos2","Age","Year","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"1","Aaron Brooks","PG",34,2019,61.6611042383945,19.0490765242957,9.14765168619806,-4.15841157944635,12.5815860971529,110.212073113355,7.54411367321825,-2.88047514999181,54.651005050714,81.0515245978593
"13","Aaron Harrison","SG",24,2019,21.3904081680823,31.6595807869279,22.9759082710897,6.69414846686108,45.0391077267434,21.1052603355412,9.04870256804044,3.08637628754125,9.27839763036847,19.7075455086175
"19","Aaron Jackson","PG",32,2019,-0.464762682114994,-26.5255389048626,-15.1980158493595,-6.63376494838626,-16.9304933130307,-15.0234561672215,-7.85841591419539,-3.71468125044323,-8.64093661655507,-7.07306814202579
"61","Alec Burks","SG",27,2019,53.8794852486883,152.679297516356,136.759809726516,23.4413141303657,154.864392716861,95.1464361558148,29.8908188073466,6.85205453598425,69.2259485968387,88.4088698466545
"73","Alex Abrines","SG",25,2019,99.6981984107954,46.4703788290441,48.323630437571,22.5634946158793,95.2523968312733,40.3113868666597,38.2558883418271,8.67835081699118,31.1826131231455,120.701388155387
"79","Alex Caruso","PG",24,2019,20.9136681789533,47.5716881397476,27.4351872136319,16.1947019886735,64.1772425421129,81.0467773727745,24.2641384226201,10.8310443442163,44.463803781975,54.2440157622845
"103","Allen Crabbe","SG",26,2019,117.996396821588,130.540757658085,80.2472608751363,17.5269892317636,187.704793662538,83.6227737333126,38.5117766836521,18.7567016339815,48.765226246287,126.40277631077
"127","Andre Ingram","SG",33,2019,2.36293346025113,-30.4126922854381,-16.0271662322331,-8.86232331551822,-16.9439602949215,-11.7822353597207,-5.99873520629708,-1.28289694977595,-8.15402916637136,-9.73770363006432
"133","Andre Roberson","SG",27,2019,39.4794852486884,98.2792975163562,29.5598097265158,67.0413141303659,190.464392716861,55.7464361558147,50.8908188073466,38.6520545359842,36.0259485968385,126.608869846654
"145","Andrew Harrison","PG",24,2019,57.4566541972455,122.301108899908,147.067356011882,25.4063321665782,133.772597304111,197.949555655408,47.9663672799799,25.0306743659899,87.4522519478692,170.198341387445
"187","Antonio Blakeney","SG",22,2019,25.2582758942202,58.3459949009006,42.0934879793787,7.65181872293824,51.2041765058987,31.5643357577725,10.5447770068239,2.96747574288105,16.4899888816076,24.5732867383621
"193","Antonius Cleveland","SG",24,2019,10.9136681789535,15.5716881397468,10.4351872136316,4.19470198867309,25.1772425421132,8.04677737277439,8.26413842262021,5.8310443442163,9.46380378197529,25.2440157622847
"205","Arron Afflalo","SG",33,2019,81.9780158112868,122.710536665979,85.4351028347912,-5.67273647801925,124.421987042797,80.4884106908295,2.76507154951449,-3.5758280519989,53.9902827001488,89.4454310619604
"211","Austin Rivers","SG",26,2019,98.1963968215884,202.140757658085,115.247260875136,25.5269892317633,153.504793662538,184.622773733313,54.1117766836522,12.9567016339815,89.765226246287,154.60277631077
"217","Avery Bradley","SG",28,2019,120.962573675788,259.817837374625,75.8723585778951,39.5556390289683,192.023991771183,114.870098578317,70.8698609310414,10.7474074379871,95.8866709473904,137.214963382539
