"","Name","Pos2","Age","Year","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"25","Abdel Nader","SF",25,2019,29.7413643213195,32.6845347591705,26.6060368307579,12.9661436215407,68.1637755602203,29.2879981802756,15.1238191305187,10.2628286448838,34.9507112321594,45.579380274246
"97","Alfonzo McKinnie","SF",26,2019,8.56906046368549,5.7973813785955,2.77688644788419,-0.262414745591677,12.1503085783282,1.52921898777555,-0.0165001615836289,0.694612945551068,2.43761868234243,6.91474478620762
"121","Andre Iguodala","SF",35,2019,47.1441926654863,31.3876163825198,3.66020053754966,17.9559133191858,148.741185151442,174.335735535834,48.1231557969036,13.8148777520072,41.9117274012521,58.6576181337287
"151","Andrew White","SF",25,2019,24.7413643213195,12.6845347591696,4.60603683075749,3.96614362154069,40.1637755602209,9.28799818027463,3.12381913051871,1.26282864488369,8.95071123215961,12.5793802742457
"157","Andrew Wiggins","SF",23,2019,103.395689735547,565.364987252249,379.733719948438,114.879546807352,287.510441264733,199.660839394423,93.1119425170556,49.1686893572006,184.724972204013,189.1832168459
"169","Anthony Brown","SF",26,2019,22.0345260708818,18.1109672646228,10.9926400729279,4.77991499833096,46.3185731325047,14.0701435655452,5.82075873296662,2.14684682354497,7.89269409777116,16.3823368897959
"283","Bojan Bogdanovic","SF",29,2019,137.811131871046,189.057686543601,135.796464205335,28.9511713003646,210.808436536345,86.7791515069347,29.7571531355287,3.6454538672148,98.528583956772,113.463684525321
"301","Brandon Ingram","SF",21,2019,65.7320215565962,309.293299112502,186.298532734812,66.4348448186741,297.833198722627,220.864062021655,55.0978040944383,43.587645012986,143.761168422042,172.189201083619
"337","Bruno Caboclo","SF",23,2019,27.6456897355466,53.8649872522475,31.483719948438,12.6295468073524,61.0104412647323,31.4108393944223,10.611942517056,6.66868935720101,17.2249722040132,18.1832168458991
"361","C.J. Miles","SF",31,2019,146.211838957088,61.0334569494375,61.6100051320333,4.49861372477579,127.102788934152,29.8410858458254,32.8069873021252,16.0334661439957,34.8688379990455,110.833243990192
"385","Caris LeVert","SF",24,2019,84.4566541972453,191.801108899908,111.067356011881,40.4063321665782,209.272597304112,215.449555655408,67.9663672799799,16.5306743659899,110.452251947869,129.198341387445
"397","Cedi Osman","SF",23,2019,41.0859720365867,73.4588415203241,35.2643375965053,21.4232603558059,119.190709524006,49.8055565652738,24.4044577147221,4.39926004354875,35.9768963317915,81.9086512503235
"403","Chandler Parsons","SF",30,2019,95.7287505299875,145.294917091167,69.2974562806537,22.7842888261734,188.143189879829,129.917423423322,36.0279451784306,11.5381132419928,65.0081156484937,88.8271504543075
"529","Damien Wilkins","SF",39,2019,-5.6708896855503,-53.7356125688952,-33.0020685294771,-12.2336735183116,-35.0247621862797,-26.3349105147204,-13.8406509589094,-6.69219114577065,-15.2325844652692,-15.7255165582975
"559","Danilo Gallinari","SF",30,2019,94.1303722269619,114.339803092159,224.723588248151,20.3797753825332,183.774769081614,79.1322035256862,24.1563549052743,10.9749146188838,47.7458525822316,60.8020958052243
"571","Dante Cunningham","SF",31,2019,40.8118389570873,94.6334569494376,5.41000513203353,57.2986137247758,179.102788934151,30.2410858458248,30.0069873021252,30.0334661439956,17.4688379990454,104.633243990192
"595","Darius Miller","SF",28,2019,74.3337964021051,35.4750667545406,27.817420982437,3.15387302519419,78.4830726185512,50.085691035907,12.7579070719141,6.89108888605872,23.1079388747147,79.4963019699662
"667","DeAndre' Bembry","SF",24,2019,18.4566541972456,62.3011088999086,23.5673560118813,13.4063321665783,77.7725973041122,48.9495556554082,16.9663672799798,10.03067436599,35.9522519478693,33.6983413874453
"697","DeMarre Carroll","SF",32,2019,103.694927384187,84.5719968077081,71.3225539834121,60.0129386233782,211.462387988474,62.964748268327,58.1860294258197,11.3288190459983,44.929560349597,116.039337526076
"733","Derrick Jones","SF",21,2019,20.732021556596,81.7932991125017,46.2985327348128,37.9348448186746,69.8331987226288,33.3640620216547,16.5978040944383,17.0876450129857,21.2611684220422,55.1892010836187
"775","Devin Robinson","SF",23,2019,9.08597203658697,16.4588415203235,9.26433759650543,4.42326035580567,21.1907095240061,8.80555656527468,3.40445771472202,1.39926004354879,3.97689633179129,5.9086512503238
"793","Dillon Brooks","SF",23,2019,103.085972036587,261.458841520324,133.264337596505,51.4232603558057,226.190709524006,143.805556565274,75.4044577147221,18.3992600435487,127.976896331792,236.908651250323
"829","Doug McDermott","SF",27,2019,86.9226511592125,127.243453446483,56.1922161197026,22.593963136027,143.875771445809,51.8230474694307,9.95874959603771,6.23653236387678,39.5940467058527,86.5368619655137
"943","Erik McCree","SF",25,2019,6.7413643213201,5.68453475917124,3.60603683075804,-0.0338563784594896,11.1637755602202,3.28799818027511,1.12381913051848,0.262828644883804,1.95071123215916,0.579380274246375
"955","Evan Fournier","SF",26,2019,138.396396821588,242.140757658085,168.047260875136,33.5269892317635,195.904793662538,175.022773733313,58.1117766836521,7.5567016339815,114.565226246287,168.80277631077
"961","Evan Turner","SF",30,2019,42.5287505299875,246.094917091167,108.297456280654,29.9842888261732,285.343189879829,269.117423423322,53.8279451784305,15.9381132419927,137.208115648494,143.027150454308
"1051","Glenn Robinson","SF",25,2019,40.2841704473798,77.1792203493657,42.5879680340704,26.7367549716895,109.193106355271,40.3669434319261,22.4103460565468,9.82761086053864,23.9095094549331,33.8600394057064
"1063","Gordon Hayward","SF",28,2019,113.762573675788,288.617837374626,284.872358577895,38.9556390289683,276.423991771183,248.270098578318,71.8698609310414,21.347407437987,147.286670947391,110.814963382539
"1225","Jae Crowder","SF",28,2019,114.362573675788,157.217837374626,126.272358577895,52.7556390289683,261.423991771183,104.670098578317,73.4698609310415,22.9474074379871,60.6866709473904,150.014963382539
"1237","JaKarr Sampson","SF",25,2019,38.1605497630827,123.153552832849,69.1035493639661,37.5953914255134,148.810469106253,61.0443327248875,26.7511422243505,29.4055234843519,58.4078409352006,114.8722538621
"1243","Jake Layman","SF",24,2019,20.9566541972453,29.8011088999088,18.5673560118813,7.4063321665783,38.2725973041119,21.4495556554078,9.96636727997992,5.03067436598988,12.4522519478693,21.6983413874448
"1255","Jalen Jones","SF",25,2019,16.7413643213197,21.6845347591716,15.6060368307581,12.9661436215405,35.1637755602204,7.28799818027511,5.12381913051833,1.26282864488378,7.95071123215919,22.579380274246
"1291","James Ennis","SF",28,2019,50.7418915151292,70.7755699950419,66.6193401625188,47.2725672181957,127.092103991077,45.4260994881826,28.1079513657834,12.5659931155458,38.0613153313125,97.1252732454176
"1315","James Webb","SF",25,2019,10.7413643213195,7.68453475917138,3.60603683075733,7.96614362154065,26.1637755602201,7.2879981802742,1.12381913051823,0.262828644883744,4.95071123215932,10.579380274246
"1327","Jamil Wilson","SF",28,2019,30.2244527484192,2.0230746174432,-2.88141431786357,-0.719531479856485,27.1233746145413,5.01166060277649,1.70286125421266,6.55818154688649,4.41143358271046,29.5854738101297
"1345","Jarell Eddie","SF",27,2019,16.6899183556149,0.669993836803002,5.00100597384731,-2.34386840260086,18.9583058353864,0.885918513879545,-0.459879851236792,-0.656251241786585,-1.46682433519437,-1.28026741961452
"1405","Jayson Tatum","SF",20,2019,117.602883609487,322.120301662052,230.751788745126,56.1089354572032,382.231110469684,145.081894142772,88.8254155910278,61.1039071415461,122.51617398124,178.90255771444
"1435","Jeremy Evans","SF",31,2019,6.11795214419199,3.38922560379696,-7.51034844743336,21.2687308548124,43.3336325877857,-15.2559990034821,-1.6672973843223,9.22301153071688,-5.9783036052774,24.3296124427234
"1489","Joe Ingles","SF",31,2019,122.199612582878,35.6219196407184,10.2919622909668,1.98887946470214,157.741101626883,211.235255544439,74.5555566750198,16.8043753705528,75.4631212076916,113.140507085128
"1495","Joe Johnson","SF",37,2019,92.5103695196856,91.6646960990604,0.987098240308484,-9.64923688360903,96.0603832600883,126.983060380839,59.4812400442925,4.60558355601254,30.2331721023557,62.0698052054974
"1537","John Holland","SF",30,2019,11.8798450331519,-12.7512321437096,-1.53971508361127,-0.176648214121251,8.09644065075564,-5.50589778222277,1.4222226700088,-0.57824985177858,1.38524848307765,2.25620283405219
"1645","Josh Jackson","SF",21,2019,68.4305797518538,357.233148281476,191.922638362252,99.8803770900706,282.217643487791,133.323114950273,84.685096298926,37.5356914422137,153.003081431424,225.237922226401
"1663","Josh Richardson","SF",25,2019,100.045800452815,174.218607359109,71.1676075053416,36.459365065929,149.012173762956,169.587701950543,86.4347306505035,51.2832782222096,80.5855458640699,125.37827453254
"1699","Justin Anderson","SF",25,2019,53.0458004528152,94.5519406924421,54.4739408386751,33.170365065929,113.012173762956,84.5877019505429,30.1013973171702,17.616611555543,39.5855458640701,65.7116078658736
"1711","Justin Jackson","SF",23,2019,66.0859720365866,143.458841520324,35.2643375965048,29.4232603558058,178.190709524006,82.8055565652732,30.404457714722,14.3992600435487,43.9768963317914,84.9086512503233
"1747","Kawhi Leonard","SF",27,2019,102.479485248688,316.679297516356,165.872809726516,47.0161141303658,261.064392716861,217.946436155815,117.890818807347,57.6520545359842,83.4259485968387,96.6088698466546
"1765","Kelly Oubre","SF",23,2019,88.0683492166822,167.100554214748,111.129542370169,46.6955985344592,218.066041690526,113.956152053873,56.6626744855773,28.2228076862059,58.9712493966674,164.370149818028
"1825","Khris Middleton","SF",27,2019,130.479485248688,301.079297516356,135.861209726516,30.4189141303658,240.264392716861,220.346436155815,137.290818807347,37.6520545359843,102.025948596839,189.408869846655
"1861","Kyle Anderson","SF",25,2019,32.0341704473796,137.429220349365,55.7099680340705,33.6735049716896,180.19310635527,156.366943431926,79.1603460565468,40.3276108605386,49.1595094549333,71.6100394057068
"1867","Kyle Collinsworth","SF",27,2019,8.39675660605244,29.9102279980193,18.9477360650102,29.5090268872759,77.1368415964353,53.7704397952761,14.8431805463145,8.12639724621876,21.9245261325263,41.2501092981686
"1897","Kyle Singler","SF",30,2019,53.1287505299874,31.0949170911668,22.1888562806537,18.1160888261733,75.7431898798286,41.9174234233221,15.8279451784305,13.3381132419927,17.6081156484938,69.2271504543075
"1999","Luke Babbitt","SF",29,2019,68.0456621028877,16.3563772328964,-0.715492570725644,0.0259639275709773,80.7835908255061,41.3937610008194,12.2489030547359,6.44276033998991,9.14739329794195,50.4210569184228
"2017","Luol Deng","SF",33,2019,51.5780158112867,113.310536665978,44.1379028347913,28.4782635219808,125.221987042797,122.68841069083,40.7650715495143,14.4241719480012,31.590282700149,40.8454310619605
"2041","Malcolm Miller","SF",25,2019,14.7413643213198,10.6845347591712,7.60603683075767,3.96614362154055,21.1637755602205,6.28799818027485,1.1238191305184,2.26282864488384,5.95071123215907,10.5793802742458
"2119","Mario Hezonja","SF",23,2019,86.4016825500157,161.100554214748,64.4718757035026,27.1202652011259,173.066041690526,135.956152053873,79.6626744855773,31.5561410195392,63.6379160633341,111.703483151361
"2203","Maurice Harkless","SF",25,2019,69.9133083944886,180.202217799814,67.4391120237569,60.5370643331609,185.745194608216,126.09911131081,70.7327345599575,47.2613487319786,63.7045038957352,125.396682774886
