Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Aaron Brooks,PG,31,CHI,69,0,1108,188,469,66,185,122,284,49,64,21,80,101,180,30,10,82,132,491,,
Aaron Gordon,PF,20,ORL,78,37,1863,274,579,42,142,232,437,129,193,154,353,507,128,59,55,66,153,719,,
Aaron Harrison,SG,21,CHO,21,0,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18,,
Adreian Payne,PF,24,MIN,52,2,486,53,145,9,32,44,113,17,26,20,91,111,29,16,11,36,77,132,,
Al Horford,C,29,ATL,82,82,2631,529,1048,88,256,441,792,103,129,148,448,596,263,68,121,107,163,1249,,
Al Jefferson,C,31,CHO,47,18,1096,245,505,0,0,245,505,72,111,57,244,301,70,30,41,34,117,562,,
Al-Farouq Aminu,SF,25,POR,82,82,2341,299,719,126,349,173,370,115,156,98,401,499,138,72,53,120,171,839,,
Alan Anderson,SG,33,WAS,13,0,192,21,59,12,37,9,22,11,15,1,26,27,14,4,1,2,25,65,,
Alan Williams,PF,23,PHO,10,0,68,10,24,0,0,10,24,9,14,14,24,38,5,4,5,6,15,29,,
Alec Burks,SG,24,UTA,31,3,797,137,334,32,79,105,255,106,141,16,93,109,63,18,4,51,71,412,,
Alex Len,C,22,PHO,78,46,1821,264,624,1,7,263,617,174,239,178,416,594,97,38,62,145,230,703,,
Alex Stepheson,PF,28,TOT,8,0,73,9,27,0,0,9,27,4,12,19,9,28,2,1,5,0,12,22,,
Alexis Ajinca,C,27,NOP,59,17,861,150,315,0,1,150,314,52,62,75,194,269,31,19,36,54,134,352,,
Allen Crabbe,SG,23,POR,81,8,2105,311,678,112,285,199,393,98,113,27,189,216,99,63,16,64,192,832,,
Alonzo Gee,SF,28,NOP,73,38,1632,132,255,17,60,115,195,44,66,60,185,245,72,63,13,55,169,325,,
Amar'e Stoudemire,C,33,MIA,52,36,762,125,221,0,0,125,221,50,67,65,157,222,27,18,41,47,92,300,,
Amir Johnson,PF,28,BOS,79,76,1800,249,426,10,43,239,383,69,121,178,327,505,138,52,83,94,214,577,,
Anderson Varejao,C,33,TOT,53,0,496,53,124,0,1,53,123,32,50,37,104,141,35,16,10,22,70,138,,
Andre Drummond,C,22,DET,81,81,2666,552,1060,2,6,550,1054,208,586,395,803,1198,67,119,112,155,245,1314,,
Andre Iguodala,SF,32,GSW,65,1,1732,176,368,54,154,122,214,51,83,52,211,263,219,73,19,79,102,457,,
