Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Brooks,PG,33,MIN,32,1,189,28,69,11,31,17,38,8,11,7,10,17,20,6,0,11,28,75
Aaron Gordon,PF,22,ORL,58,57,1909,375,865,115,342,260,523,157,225,87,370,457,136,59,45,107,111,1022
Aaron Harrison,SG,23,DAL,9,3,233,19,69,9,43,10,26,13,17,4,20,24,11,9,2,3,27,60
Aaron Jackson,PG,31,HOU,1,0,35,3,9,1,4,2,5,1,2,2,1,3,1,0,0,1,4,8
Abdel Nader,SF,24,BOS,48,1,522,50,149,23,65,27,84,23,39,13,58,71,26,15,10,34,45,146
Adreian Payne,PF,26,ORL,5,0,43,7,10,2,3,5,7,5,6,2,7,9,0,2,0,2,6,21
Al Horford,C,31,BOS,72,72,2277,368,753,97,226,271,527,94,120,103,427,530,339,43,78,132,138,927
Al Jefferson,C,33,IND,36,1,484,111,208,0,3,111,205,30,36,30,113,143,30,16,23,21,66,252
Al-Farouq Aminu,PF,27,POR,69,67,2072,230,582,125,339,105,243,59,80,97,428,525,84,79,40,79,136,644
Alan Williams,PF,25,PHO,5,0,70,7,18,0,0,7,18,6,9,3,19,22,8,5,1,7,13,20
Alec Burks,SG,26,UTA,64,1,1059,170,414,47,142,123,272,107,124,19,173,192,67,37,8,60,75,494
Alec Peters,PF,22,PHO,20,0,225,28,74,18,58,10,16,8,10,8,29,37,12,2,2,4,13,82
Alex Abrines,SG,24,OKC,75,8,1134,115,291,84,221,31,70,39,46,26,88,114,28,38,8,25,124,353
Alex Caruso,PG,23,LAL,37,7,562,50,116,13,43,37,73,21,30,15,50,65,75,23,10,42,52,134
Alex Len,C,24,PHO,69,13,1395,214,378,1,3,213,375,158,231,175,343,518,82,27,61,78,158,587
Alex Poythress,PF,24,IND,25,0,104,11,26,4,11,7,15,0,0,7,10,17,2,3,1,2,16,26
Alfonzo McKinnie,SF,25,TOR,14,0,53,8,15,3,9,5,6,2,3,1,6,7,1,1,1,3,8,21
Allen Crabbe,SG,25,BRK,75,68,2197,337,827,201,532,136,295,115,135,28,296,324,117,47,35,78,168,990
Amir Johnson,C,30,PHI,74,18,1171,140,260,10,32,130,228,52,85,123,207,330,118,45,44,55,193,342
Andre Drummond,C,24,DET,78,78,2625,466,881,0,11,466,870,239,395,399,848,1247,237,114,127,200,250,1171
Andre Iguodala,SF,34,GSW,64,7,1622,148,320,33,117,115,203,55,87,50,196,246,210,54,38,67,99,384
Andre Ingram,SG,32,LAL,2,0,64,8,17,5,9,3,8,3,3,1,5,6,7,3,3,3,3,24
